Position,Evaluation
2r3k1/pp1b1ppp/3p1q2/1P2p3/P3P3/3Q1N2/2P2PPP/R4RK1 w - - 0 21,548
2r3k1/pp1b1ppp/3p1q2/1P2p3/P3P3/3Q1N2/2P2PPP/R2R2K1 b - - 1 21,540
4r1k1/pp1b1ppp/3p1q2/1P2p3/P3P3/3Q1N2/2P2PPP/R2R2K1 w - - 2 22,626
4r1k1/pp1b1ppp/3Q1q2/1P2p3/P3P3/5N2/2P2PPP/R2R2K1 b - - 0 22,634
4r1k1/pp3ppp/3Q1q2/1P2p3/P3P1b1/5N2/2P2PPP/R2R2K1 w - - 1 23,634
4r1k1/pp3ppp/5Q2/1P2p3/P3P1b1/5N2/2P2PPP/R2R2K1 b - - 0 23,617
4r1k1/pp3p1p/5p2/1P2p3/P3P1b1/5N2/2P2PPP/R2R2K1 w - - 0 24,627
4r1k1/pp3p1p/5p2/1P2p3/P3P1b1/3R1N2/2P2PPP/R5K1 b - - 1 24,614
4r1k1/pp3p1p/5p2/1P2p3/P3P3/3R1b2/2P2PPP/R5K1 w - - 0 25,614
4r1k1/pp3p1p/5p2/1P2p3/P3P3/5R2/2P2PPP/R5K1 b - - 0 25,604
3r2k1/pp3p1p/5p2/1P2p3/P3P3/5R2/2P2PPP/R5K1 w - - 1 26,617
3r2k1/pp3p1p/5R2/1P2p3/P3P3/8/2P2PPP/R5K1 b - - 0 26,647
3r4/pp3pkp/5R2/1P2p3/P3P3/8/2P2PPP/R5K1 w - - 1 27,640
3r4/pp3pkp/8/1P2p3/P3P3/5R2/2P2PPP/R5K1 b - - 2 27,645
8/pp3pkp/8/1P2p3/P3P3/5R2/2Pr1PPP/R5K1 w - - 3 28,667
8/pp3pkp/8/1P2p3/P3P3/6R1/2Pr1PPP/R5K1 b - - 4 28,668
5k2/pp3p1p/8/1P2p3/P3P3/6R1/2Pr1PPP/R5K1 w - - 5 29,674
5k2/pp3p1p/8/1P2p3/P3P3/2P3R1/3r1PPP/R5K1 b - - 0 29,651
5k2/pp3p1p/8/1P2p3/P3P3/2P3R1/4rPPP/R5K1 w - - 1 30,657
5k2/pp3p1p/8/1P2p3/P3P3/2P2PR1/4r1PP/R5K1 b - - 0 30,634
5k2/pp3p1p/8/1P2p3/P3P3/2P2PR1/2r3PP/R5K1 w - - 1 31,626
5k2/pp3p1p/8/1P2p1R1/P3P3/2P2P2/2r3PP/R5K1 b - - 2 31,621
